sample_id,pattern,arrival_pattern,count,disk_size,initial_head,direction,spread,density,clustering,direction_bias,fcfs_dist,sstf_dist,scan_dist,cscan_dist,fcfs_var,sstf_var,scan_var,cscan_var,best_algorithm
353,sequential,all_at_once,48,300,146,UP,0.1312,1.0,0.1167,0.983,48,48,48,48,6429.04,6429.04,6429.04,6429.04,FCFS
354,sequential,bursty,18,250,186,DOWN,0.0574,1.0,0.1372,0.9765,94,77,77,77,158.44,1914.33,1914.33,1914.33,FCFS
355,sequential,random,12,300,26,UP,0.0313,1.0,0.0,1.0,28,17,563,592,29.72,588.53,1243.2,29.72,FCFS
356,sequential,continuous,28,150,98,DOWN,0.1518,1.0,0.0,1.0,46,35,215,298,952.15,3116.36,4280.53,3857.91,FCFS
357,sequential,all_at_once,49,400,60,UP,0.1003,1.0,0.1633,0.9667,90,90,90,90,6597.6,6597.6,6597.6,6597.6,FCFS
358,sequential,sequential,33,250,142,DOWN,0.1075,1.0,0.1,0.9875,141,109,109,109,54.56,4708.39,4708.39,4708.39,FCFS
359,sequential,all_at_once,48,400,205,UP,0.0983,1.0,0.1429,0.9745,77,64,418,797,6392.85,6560.04,10825.45,16805.3,SSTF
360,sequential,continuous,18,250,205,DOWN,0.0577,1.0,0.1372,0.9765,139,122,122,122,379.41,1504.01,1504.01,1504.01,FCFS
361,sequential,random,19,400,263,UP,0.038,1.0,0.0,1.0,21,21,287,797,16.6,29.19,402.63,4468.01,FCFS
362,sequential,continuous,30,200,100,DOWN,0.1223,1.0,0.105,0.9862,97,68,68,68,1078.13,3619.41,3619.41,3619.41,FCFS
363,sequential,continuous,42,400,272,DOWN,0.0858,1.0,0.1249,0.9805,149,108,652,731,2097.26,7061.01,8887.59,2097.26,FCFS
364,sequential,all_at_once,40,150,94,DOWN,0.2185,1.0,0.1281,0.9795,84,45,233,292,4426.91,4426.91,4426.91,4426.91,SSTF
365,sequential,continuous,47,250,203,UP,0.1544,1.0,0.118,0.9826,164,118,210,426,2634.99,8815.3,9505.87,2634.99,FCFS
366,sequential,all_at_once,26,400,295,UP,0.0527,1.0,0.16,0.968,187,162,370,661,1847.68,1847.68,1847.68,1847.68,SSTF
